250×13 DataFrame
 Row │ seed1   iteration  depositDist                     network                            graphParams1  graphParams2  withdrawRV                         reserveRatio  depositInsuranceQuantile  seed2   key                                started  completed
     │ Int64   Int64      Pareto…                         SimpleGr…                          Int64         Float64       Distribut…                         Float64       Float64                   Int64   String                             Bool     Bool
─────┼────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  88 │ 895386          8  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  164702  2026-01-25T14:50:39.354-895386-1…    false      false
  89 │ 895386          9  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  492345  2026-01-25T14:50:39.354-895386-4…    false      false
  90 │ 895386         10  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  115557  2026-01-25T14:50:39.354-895386-1…    false      false
  91 │  70862          1  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  947606  2026-01-25T14:50:39.354-70862-94…    false      false
  92 │  70862          2  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  547714  2026-01-25T14:50:39.354-70862-54…    false      false
  93 │  70862          3  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  638142  2026-01-25T14:50:39.354-70862-63…    false      false
  94 │  70862          4  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  129266  2026-01-25T14:50:39.354-70862-12…    false      false
  95 │  70862          5  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  909024  2026-01-25T14:50:39.354-70862-90…    false      false
  96 │  70862          6  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  866785  2026-01-25T14:50:39.354-70862-86…    false      false
  97 │  70862          7  Pareto{Float64}(α=1.0, θ=10.0)  SimpleGraph{Int64}(499000, [[2, …          1000           0.0  Truncated(Geometric{Float64}(p=0…           0.5                       0.2  923475  2026-01-25T14:50:39.354-70862-92…    false      false
